--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
027.145  000.056  000.056: require('nvim-tree.keymap')
027.220  000.072  000.072: require('nvim-tree.appearance')
027.737  000.032  000.032: require('nvim-tree.buffers')
027.873  000.060  000.060: require('nvim-tree.git.runner')
027.930  000.056  000.056: require('nvim-tree.watcher')
027.937  000.197  000.081: require('nvim-tree.git')
028.026  000.052  000.052: require('nvim-tree.node.file-link')
028.028  000.090  000.038: require('nvim-tree.node.factory')
028.077  000.048  000.048: require('nvim-tree.node.root')
028.165  000.031  000.031: require('nvim-tree.enum')
028.170  000.091  000.059: require('nvim-tree.explorer.filters')
028.234  000.063  000.063: require('nvim-tree.marks')
028.293  000.058  000.058: require('nvim-tree.explorer.live-filter')
028.395  000.101  000.101: require('nvim-tree.explorer.sorter')
028.531  000.133  000.133: require('nvim-tree.actions.fs.clipboard')
028.830  000.074  000.074: require('nvim-tree.renderer.decorator')
028.841  000.151  000.077: require('nvim-tree.renderer.decorator.bookmarks')
028.910  000.068  000.068: require('nvim-tree.renderer.decorator.copied')
028.969  000.057  000.057: require('nvim-tree.renderer.decorator.cut')
029.038  000.068  000.068: require('nvim-tree.renderer.decorator.diagnostics')
029.119  000.079  000.079: require('nvim-tree.renderer.decorator.git')
029.173  000.053  000.053: require('nvim-tree.renderer.decorator.modified')
029.267  000.092  000.092: require('nvim-tree.renderer.decorator.hidden')
029.320  000.051  000.051: require('nvim-tree.renderer.decorator.opened')
029.404  000.083  000.083: require('nvim-tree.renderer.components.padding')
029.411  000.805  000.103: require('nvim-tree.renderer.builder')
029.418  000.885  000.080: require('nvim-tree.renderer')
029.435  001.799  000.103: require('nvim-tree.explorer')
029.522  000.086  000.086: require('nvim-tree.explorer.watch')
029.643  000.062  000.062: require('nvim-tree.renderer.components.full-name')
029.646  000.118  000.056: require('nvim-tree.renderer.components')
031.491  001.676  001.676: require('nvim-web-devicons.icons-default')
031.664  002.016  000.341: require('nvim-web-devicons')
034.165  000.062  000.062: require('nvim-tree.help')
034.256  000.038  000.038: require('nvim-tree.appearance.hi-test')
034.294  000.126  000.088: require('nvim-tree.api')
034.399  000.050  000.050: require('nvim-tree.commands')
034.510  013.522  004.617: require('nvim-tree.api')
035.989  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
036.000  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
036.277  000.263  000.263: require('neodev')
